SCHOOL,SAT TOTAL 25th%,SAT TOTAL 75th%,ACT TOTAL 25th%,ACT TOTAL 75th%
New Mexico Institute of Mining and Technology,1150,1370,23,30
New York University,1390,1510,31,34
Northeastern University,1430,1540,33,35
Northwestern University,1430,1540,33,35
Oberlin College,1270,1450,28,33
Occidental College,1290,1440,28,33
"Ohio State University, Columbus",1230,1390,26,32
"Penn State, University Park",1150,1340,25,30
Pepperdine University,1210,1390,26,31
Pomona College,1390,1530,32,35
Princeton University,1460,1560,32,35
Providence College,1210,1360,27,31
Quinnipiac University,1070,1260,23,28
Rensselaer Polytechnic Institute,1290,1490,29,34
Rhodes College,1250,1400,27,32
Rice University,1460,1570,34,36
Rollins College,1120,1330,24,32
"Rutgers University, New Brunswick",1180,1410,25,32
Santa Clara University,1280,1430,28,32
Sarah Lawrence College,1220,1410,27,32
Scripps College,1320,1470,29,33
Skidmore College,1250,1390,27,31
Smith College,1350,1490,31,34
St. John's College (MD),1210,1430,26,32
St. Lawrence University,1180,1360,28,32
St. Mary's College of California,1080,1260,21,28
St. Mary's College of Maryland,1090,1250,23,29
St. Olaf College,1160,1370,25,32
Stanford University,1420,1550,31,35
Stevens Institute of Technology,1320,1480,31,34
"SUNY, Binghamton University",1320,1440,29,32
"SUNY, Geneseo",1150,1290,24,29
"SUNY, Stony Brook University",1240,1420,26,32
Swarthmore College,1400,1530,31,34
Syracuse University,1180,1380,26,30
Texas A & M University,1170,1380,25,32
Texas Christian University,1120,1310,25,31
The College of New Jersey,1150,1300,24,30
The New School,1150,1380,25,30
Trinity College (CT),1310,1420,30,32
Tufts University,1400,1510,32,35
Tulane University,1360,1470,30,33
Union College,1210,1400,28,33
United States Air Force Academy,1220,1420,29,33
United States Coast Guard Academy,1220,1400,25,30
United States Military Academy,1220,1440,28,33
United States Naval Academy,1250,1510,27,34
University of Arizona,1110,1340,21,29
University of Chicago,1510,1560,34,35
"University of Colorado, Boulder",1140,1340,24,31
University of Connecticut,1190,1390,27,32
University of Florida,1370,1450,28,33
University of Georgia,1220,1390,27,32
University of Illinois at Urbana-Champaign,1220,1450,27,33
"University of Maryland, College Park",1290,1460,29,34
"University of Massachusetts, Amherst",1190,1390,26,32
University of Miami (FL),1260,1400,28,32
"University of Michigan, Ann Arbor",1340,1520,31,34
"University of North Carolina, Chapel Hill",1270,1460,27,33
University of Notre Dame,1400,1550,32,35
University of Pennsylvania,1460,1570,33,35
University of Puget Sound,1150,1370,25,30
University of Redlands,1130,1250,26,28
University of Richmond,1290,1440,30,33
University of Rochester,1310,1500,29,33
University of San Francisco,1130,1330,23,29
University of Southern California,1360,1510,30,34
University of Texas at Austin,1220,1450,26,33
University of Texas at Dallas,1230,1430,26,33
University of the Pacific,1130,1360,23,31
University of Virginia,1330,1490,30,34
University of Washington at Seattle,1220,1430,27,33
University of Wisconsin at Madison,1300,1440,27,32
Ursinus College,1150,1350,24,30
Vanderbilt University,1470,1570,33,35
Vassar College,1380,1490,32,34
Villanova University,1320,1460,30,33
Wake Forest University,1300,1460,30,33
Washington and Lee University,1350,1500,32,34
Washington University in St. Louis,1480,1560,33,35
Webb Institute,1420,1530,33,36
Wellesley College,1370,1510,31,34
Wesleyan University (CT),1340,1510,31,34
Wheaton College (MA),1180,1340,25,31
Williams College,1430,1540,33,35
Yale University,1470,1560,33,35
